0,1,2,3,4,5,Class
535,323,551,317,646,404,0
449,180,358,194,537,296,0
327,116,290,120,286,325,0
307,171,257,173,258,196,0
419,114,267,122,361,282,0
377,254,406,230,467,396,0
145,168,141,167,190,217,0
223,144,239,142,284,145,0
54,89,88,81,65,75,0
249,150,267,165,287,249,0
376,331,819,296,421,869,0
486,400,730,426,591,770,0
343,222,502,247,391,438,0
446,167,312,191,425,285,0
135,70,147,93,134,210,0
51,42,66,58,65,60,0
346,120,213,124,303,207,0
185,107,270,108,155,236,0
267,21,76,16,49,113,0
723,713,950,728,1044,1187,0
20,11,20,13,19,11,0
819,406,692,386,831,471,0
226,87,188,95,128,182,0
120,22,67,27,78,145,0
233,38,115,31,101,188,0
311,59,194,78,155,348,0
83,53,166,65,158,120,0
206,33,60,29,45,61,0
449,180,358,194,537,296,0
258,34,106,36,101,101,0
556,239,498,252,548,464,0
346,120,213,124,303,207,0
72,10,44,11,38,23,0
419,114,267,122,361,282,0
1490,991,1766,1011,2101,1246,0
316,193,401,192,456,504,0
326,331,571,337,522,586,0
789,625,1244,573,1107,1514,0
269,185,475,191,296,326,0
369,80,126,94,180,212,0
363,82,204,83,267,253,0
435,293,613,331,542,445,0
694,255,631,282,668,598,0
245,424,575,397,583,346,0
583,286,496,276,629,429,0
5110,2885,5826,2809,3950,9207,0
178,46,118,53,136,95,0
270,133,274,149,328,239,0
0,1,2,3,4,5,Class
535,323,551,317,646,404,0
449,180,358,194,537,296,0
327,116,290,120,286,325,0
307,171,257,173,258,196,0
419,114,267,122,361,282,0
377,254,406,230,467,396,0
145,168,141,167,190,217,0
223,144,239,142,284,145,0
54,89,88,81,65,75,0
249,150,267,165,287,249,0
376,331,819,296,421,869,0
486,400,730,426,591,770,0
343,222,502,247,391,438,0
446,167,312,191,425,285,0
135,70,147,93,134,210,0
51,42,66,58,65,60,0
346,120,213,124,303,207,0
185,107,270,108,155,236,0
267,21,76,16,49,113,0
723,713,950,728,1044,1187,0
20,11,20,13,19,11,0
819,406,692,386,831,471,0
226,87,188,95,128,182,0
120,22,67,27,78,145,0
233,38,115,31,101,188,0
311,59,194,78,155,348,0
83,53,166,65,158,120,0
206,33,60,29,45,61,0
449,180,358,194,537,296,0
258,34,106,36,101,101,0
556,239,498,252,548,464,0
346,120,213,124,303,207,0
72,10,44,11,38,23,0
419,114,267,122,361,282,0
1490,991,1766,1011,2101,1246,0
316,193,401,192,456,504,0
326,331,571,337,522,586,0
789,625,1244,573,1107,1514,0
269,185,475,191,296,326,0
369,80,126,94,180,212,0
363,82,204,83,267,253,0
435,293,613,331,542,445,0
694,255,631,282,668,598,0
245,424,575,397,583,346,0
583,286,496,276,629,429,0
5110,2885,5826,2809,3950,9207,0
178,46,118,53,136,95,0
270,133,274,149,328,239,0
0,1,2,3,4,5,Class
695,196,380,320,520,665,0
434,94,301,197,478,510,0
289,181,262,120,376,236,0
332,105,182,175,368,200,0
272,152,237,121,483,300,0
527,168,354,235,342,504,0
269,98,155,168,89,249,0
306,80,142,144,230,275,0
148,51,53,81,55,64,0
336,91,241,163,229,307,0
665,647,694,300,378,428,0
833,418,646,425,437,644,0
499,293,368,245,396,342,0
406,94,262,193,468,403,0
139,147,135,94,165,109,0
85,31,49,58,62,57,0
263,99,172,124,413,242,0
220,166,226,108,164,177,0
41,60,111,17,252,61,0
1333,657,858,728,633,1136,0
23,7,12,13,26,13,0
856,285,422,384,1010,648,0
188,79,185,94,174,186,0
64,58,112,27,94,104,0
75,78,188,32,186,147,0
147,170,281,78,264,205,0
140,86,112,64,134,109,0
54,48,49,30,222,31,0
434,94,301,197,478,510,0
80,45,116,36,291,68,0
516,186,491,249,602,513,0
263,99,172,124,413,242,0
28,5,44,12,82,27,0
272,152,237,121,483,300,0
2297,658,1026,1013,1764,1847,0
481,201,415,191,309,465,0
666,332,490,337,330,518,0
1300,944,1135,572,811,1090,0
444,226,310,193,281,288,0
177,86,154,94,308,242,0
227,95,214,82,350,284,0
660,286,390,334,512,477,0
657,304,519,282,754,612,0
854,201,283,397,318,517,0
602,172,426,278,545,676,0
5592,4478,7848,2828,2611,6430,0
119,54,85,53,201,114,0
310,123,213,149,336,262,0
