0,1,2,3,4,5,Class
278,195,254,120,350,200,1
73,38,67,22,57,96,1
152,89,143,102,210,156,1
66,32,71,16,57,113,1
61,31,47,31,68,71,1
247,154,170,26,219,190,1
94,40,74,62,89,100,1
81,23,36,90,90,93,1
158,118,178,30,158,148,1
107,72,114,87,175,108,1
94,53,107,135,204,70,1
157,64,99,112,185,103,1
80,27,33,18,26,51,1
57,31,42,11,45,28,1
192,96,148,68,192,108,1
52,43,43,43,57,46,1
101,66,109,66,127,135,1
83,78,107,40,101,116,1
110,73,109,67,144,91,1
78,32,73,46,89,67,1
60,16,22,22,40,37,1
110,40,70,39,84,83,1
110,90,116,26,123,99,1
102,93,92,44,106,109,1
150,188,176,23,171,73,1
143,108,142,54,142,121,1
98,51,67,41,142,113,1
143,83,105,55,137,113,1
57,39,52,32,80,78,1
121,71,113,23,93,119,1
103,93,102,44,146,110,1
76,43,48,47,83,72,1
67,35,57,37,112,52,1
188,106,175,67,193,148,1
193,14,64,86,117,176,1
60,25,38,30,56,42,1
66,44,63,55,104,74,1
113,56,105,70,176,85,1
185,86,155,61,191,120,1
40,12,32,40,74,38,1
163,126,157,52,151,104,1
128,73,153,126,242,151,1
86,45,81,21,73,80,1
210,107,147,96,197,187,1
114,38,84,87,125,72,1
163,143,168,45,196,117,1
65,43,61,16,67,79,1
103,70,115,107,150,87,1
53,39,40,42,73,40,1
77,22,48,75,64,55,1
0,1,2,3,4,5,Class
278,195,254,120,350,200,1
73,38,67,22,57,96,1
152,89,143,102,210,156,1
66,32,71,16,57,113,1
61,31,47,31,68,71,1
247,154,170,26,219,190,1
94,40,74,62,89,100,1
81,23,36,90,90,93,1
158,118,178,30,158,148,1
107,72,114,87,175,108,1
94,53,107,135,204,70,1
157,64,99,112,185,103,1
80,27,33,18,26,51,1
57,31,42,11,45,28,1
192,96,148,68,192,108,1
52,43,43,43,57,46,1
101,66,109,66,127,135,1
83,78,107,40,101,116,1
110,73,109,67,144,91,1
78,32,73,46,89,67,1
60,16,22,22,40,37,1
110,40,70,39,84,83,1
110,90,116,26,123,99,1
102,93,92,44,106,109,1
150,188,176,23,171,73,1
143,108,142,54,142,121,1
98,51,67,41,142,113,1
143,83,105,55,137,113,1
57,39,52,32,80,78,1
121,71,113,23,93,119,1
103,93,102,44,146,110,1
76,43,48,47,83,72,1
67,35,57,37,112,52,1
188,106,175,67,193,148,1
193,14,64,86,117,176,1
60,25,38,30,56,42,1
66,44,63,55,104,74,1
113,56,105,70,176,85,1
185,86,155,61,191,120,1
40,12,32,40,74,38,1
163,126,157,52,151,104,1
128,73,153,126,242,151,1
86,45,81,21,73,80,1
210,107,147,96,197,187,1
114,38,84,87,125,72,1
163,143,168,45,196,117,1
65,43,61,16,67,79,1
103,70,115,107,150,87,1
53,39,40,42,73,40,1
0,1,2,3,4,5,Class
259,75,243,133,268,419,1
67,47,70,12,70,87,1
143,43,213,75,117,261,1
71,73,56,13,66,76,1
47,53,50,31,64,64,1
171,76,137,28,217,377,1
74,63,99,48,87,88,1
36,78,105,69,90,35,1
177,66,116,51,167,213,1
115,45,150,100,97,156,1
109,24,184,141,89,116,1
101,52,163,104,122,178,1
33,33,37,8,90,34,1
43,13,25,13,46,74,1
149,46,133,79,150,247,1
43,24,65,38,67,47,1
111,64,135,54,100,140,1
108,31,128,44,112,102,1
109,44,115,64,107,155,1
73,35,78,56,63,80,1
23,4,54,19,57,40,1
70,68,54,49,108,77,1
115,20,108,35,114,172,1
97,35,117,38,110,149,1
183,25,74,19,203,277,1
143,56,121,50,164,176,1
66,60,94,66,82,144,1
108,32,136,43,122,195,1
52,43,67,51,59,66,1
113,42,101,18,104,162,1
105,53,102,56,118,164,1
46,45,74,50,80,74,1
57,35,54,63,70,81,1
174,60,157,55,172,259,1
67,164,97,95,191,36,1
39,27,45,32,64,44,1
62,34,97,44,69,100,1
106,29,128,75,65,202,1
156,34,147,76,139,246,1
32,13,65,63,37,26,1
155,43,119,39,178,219,1
153,65,212,163,118,162,1
80,40,60,8,87,111,1
151,86,195,85,197,230,1
84,55,104,82,108,87,1
171,40,123,43,154,301,1
62,21,75,10,50,113,1
114,27,167,80,97,147,1
41,24,58,35,57,72,1
